,ip,district,avg_ms,packet loss
110,[2606:4700:9ae7::],HKG,51.59277916,0
124,[2606:4700:9c66::],HKG,51.66733265,0
48,[2606:4700:99e5::],HKG,51.74920559,0
79,[2606:4700:9a96::],HKG,51.92661285,0
23,[2606:4700:964a::],HKG,51.98357105,0
7,[2606:4700:91b8::],HKG,52.12934017,0
92,[2606:4700:9ad4::],HKG,52.47807503,0
51,[2606:4700:99e8::],HKG,52.50256062,0
101,[2606:4700:9add::],HKG,52.54359245,0
80,[2606:4700:9a97::],HKG,52.57685184,0
107,[2606:4700:9ae4::],HKG,52.61471272,0
17,[2606:4700:9643::],HKG,52.64241695,0
120,[2606:4700:9c62::],HKG,52.74298191,0
125,[2606:4700:9c67::],HKG,52.79905796,0
21,[2606:4700:9648::],HKG,52.81274319,0
70,[2606:4700:9a6c::],HKG,53.01017761,0
35,[2606:4700:9767::],HKG,53.05902958,0
25,[2606:4700:964c::],HKG,53.07927132,0
8,[2606:4700:91b9::],HKG,53.08997631,0
55,[2606:4700:99ec::],HKG,53.20661068,0
132,[2606:4700:9c6f::],HKG,53.21974754,0
11,[2606:4700:91bc::],HKG,53.22303772,0
33,[2606:4700:9765::],HKG,53.24201584,0
77,[2606:4700:9a94::],HKG,53.36194038,0
50,[2606:4700:99e7::],HKG,53.41928005,0
57,[2606:4700:99ee::],HKG,53.53198051,0
115,[2606:4700:9aec::],HKG,53.53322029,0
88,[2606:4700:9a9f::],HKG,53.57310772,0
99,[2606:4700:9adb::],HKG,53.73995304,0
103,[2606:4700:9adf::],HKG,53.74917984,0
46,[2606:4700:99e3::],HKG,53.83017063,0
76,[2606:4700:9a93::],HKG,53.91888618,0
65,[2606:4700:9a67::],HKG,53.92374992,0
64,[2606:4700:9a66::],HKG,53.97014618,0
30,[2606:4700:9762::],HKG,53.99224758,0
37,[2606:4700:9769::],HKG,54.01363373,0
102,[2606:4700:9ade::],HKG,54.03294563,0
69,[2606:4700:9a6b::],HKG,54.05464172,0
100,[2606:4700:9adc::],HKG,54.14676666,0
90,[2606:4700:9ad2::],HKG,54.23107147,0
19,[2606:4700:9645::],HKG,54.2673111,0
32,[2606:4700:9764::],HKG,54.27391529,0
13,[2606:4700:91be::],HKG,54.29668427,0
4,[2606:4700:91b5::],HKG,54.31332588,0
105,[2606:4700:9ae2::],HKG,54.32298183,0
49,[2606:4700:99e6::],HKG,54.38439846,0
34,[2606:4700:9766::],HKG,54.39498425,0
127,[2606:4700:9c69::],HKG,54.53877449,0
28,[2606:4700:964f::],HKG,54.64365482,0
72,[2606:4700:9a6e::],HKG,54.72128391,0
27,[2606:4700:964e::],HKG,54.77964878,0
60,[2606:4700:9a62::],HKG,54.82640266,0
98,[2606:4700:9ada::],HKG,54.8409462,0
106,[2606:4700:9ae3::],HKG,54.89766598,0
26,[2606:4700:964d::],HKG,54.93450165,0
68,[2606:4700:9a6a::],HKG,55.0817728,0
2,[2606:4700:91b3::],HKG,55.14259338,0
24,[2606:4700:964b::],HKG,55.15451431,0
119,[2606:4700:9c61::],HKG,55.1636219,0
22,[2606:4700:9649::],HKG,55.28776646,0
5,[2606:4700:91b6::],HKG,55.35690784,0
114,[2606:4700:9aeb::],HKG,55.39300442,0
108,[2606:4700:9ae5::],HKG,55.40363789,0
122,[2606:4700:9c64::],HKG,55.49395084,0
111,[2606:4700:9ae8::],HKG,55.51123619,0
126,[2606:4700:9c68::],HKG,55.56328297,0
82,[2606:4700:9a99::],HKG,55.60500622,0
117,[2606:4700:9aee::],HKG,55.75728416,0
97,[2606:4700:9ad9::],HKG,55.75866699,0
93,[2606:4700:9ad5::],HKG,55.82032204,0
95,[2606:4700:9ad7::],HKG,55.93497753,0
36,[2606:4700:9768::],HKG,55.94248772,0
109,[2606:4700:9ae6::],HKG,55.95622063,0
15,[2606:4700:9641::],HKG,55.98378181,0
74,[2606:4700:9a91::],HKG,55.98814487,0
71,[2606:4700:9a6d::],HKG,55.99894524,0
31,[2606:4700:9763::],HKG,56.07793331,0
14,[2606:4700:91bf::],HKG,56.08477592,0
44,[2606:4700:99e1::],HKG,56.11186028,0
104,[2606:4700:9ae1::],HKG,56.14347458,0
45,[2606:4700:99e2::],HKG,56.18140697,0
75,[2606:4700:9a92::],HKG,56.18653297,0
59,[2606:4700:9a61::],HKG,56.27627373,0
62,[2606:4700:9a64::],HKG,56.42085075,0
52,[2606:4700:99e9::],HKG,56.4469099,0
94,[2606:4700:9ad6::],HKG,56.45353794,0
53,[2606:4700:99ea::],HKG,56.47034645,0
54,[2606:4700:99eb::],HKG,56.49826527,0
20,[2606:4700:9646::],HKG,56.54649734,0
81,[2606:4700:9a98::],HKG,56.59866333,0
96,[2606:4700:9ad8::],HKG,56.61242008,0
113,[2606:4700:9aea::],HKG,56.65314198,0
3,[2606:4700:91b4::],HKG,56.72030449,0
78,[2606:4700:9a95::],HKG,56.80732727,0
73,[2606:4700:9a6f::],HKG,56.82506561,0
40,[2606:4700:976c::],HKG,56.82692528,0
6,[2606:4700:91b7::],HKG,56.84871674,0
61,[2606:4700:9a63::],HKG,56.93986416,0
66,[2606:4700:9a68::],HKG,57.15744495,0
118,[2606:4700:9aef::],HKG,57.22494125,0
123,[2606:4700:9c65::],HKG,57.30051994,0
10,[2606:4700:91bb::],HKG,57.50911236,0
121,[2606:4700:9c63::],HKG,57.54408836,0
58,[2606:4700:99ef::],HKG,57.54578114,0
116,[2606:4700:9aed::],HKG,57.55472183,0
